games, r_squared, odds better team wins
0,0.39637374861,0.9
1,0.564142380423,0.9
2,0.655733036707,0.9
3,0.720978865406,0.9
4,0.763038932147,0.9
5,0.79714349277,0.9
6,0.818923248053,0.9
7,0.837401557286,0.9
8,0.855385984427,0.9
9,0.870531701891,0.9
10,0.882398220245,0.9
11,0.891710789766,0.9
12,0.898598442714,0.9
13,0.907296996663,0.9
14,0.913779755284,0.9
15,0.91786429366,0.9
16,0.921459399333,0.9
17,0.926745272525,0.9
18,0.930843159066,0.9
19,0.936120133482,0.9
20,0.939857619577,0.9
21,0.94365294772,0.9
22,0.947061179088,0.9
23,0.950166852058,0.9
24,0.95383759733,0.9
25,0.954803114572,0.9
26,0.955986651835,0.9
27,0.959256952169,0.9
28,0.960529477197,0.9
29,0.962273637375,0.9
30,0.963546162403,0.9
31,0.965704115684,0.9
32,0.967078976641,0.9
33,0.967688542825,0.9
34,0.969753058954,0.9
35,0.970451612903,0.9
36,0.97110567297,0.9
37,0.972498331479,0.9
38,0.97373971079,0.9
39,0.975488320356,0.9
40,0.975977753059,0.9
41,0.97696996663,0.9
42,0.978091212458,0.9
43,0.978602892102,0.9
44,0.979804226919,0.9
45,0.980071190211,0.9
46,0.980876529477,0.9
47,0.982073414905,0.9
48,0.982549499444,0.9
49,0.983461624027,0.9
50,0.984191323693,0.9
51,0.984791991101,0.9
52,0.98496996663,0.9
53,0.985659621802,0.9
54,0.985824249166,0.9
55,0.986674082314,0.9
56,0.987256952169,0.9
57,0.987644048943,0.9
58,0.988120133482,0.9
59,0.988418242492,0.9
60,0.988952169077,0.9
61,0.989499443826,0.9
62,0.990197997775,0.9
63,0.990580645161,0.9
64,0.9910567297,0.9
65,0.99152836485,0.9
66,0.991670745273,0.9
67,0.992311457175,0.9
68,0.992614015573,0.9
69,0.993058954394,0.9
70,0.993481646274,0.9
71,0.994091212458,0.9
72,0.994611790879,0.9
73,0.995012235818,0.9
74,0.995568409344,0.9
75,0.996,0.9
76,0.996525027809,0.9
77,0.997134593993,0.9
78,0.997535038932,0.9
79,0.998077864294,0.9
80,0.998687430478,0.9
81,1.0,0.9
